date,product,sales,price,is_promotion,weather_index,day_of_week,month,year,week_of_year,is_holiday
2021-04-14,Electronics,152.0,134.38,1,85.9,2,4,2021,15,0
2021-04-15,Electronics,175.0,134.38,1,92.76,3,4,2021,15,0
2021-04-16,Electronics,185.0,134.38,1,88.52,4,4,2021,15,0
2021-04-17,Electronics,126.0,157.05,0,97.24,5,4,2021,15,0
2021-04-18,Electronics,114.0,157.05,0,85.94,6,4,2021,15,0
2021-04-19,Electronics,81.0,157.05,0,93.14,0,4,2021,16,0
2021-04-20,Electronics,88.0,157.05,0,88.42,1,4,2021,16,0
2021-04-21,Electronics,89.0,157.05,0,91.69,2,4,2021,16,0
2021-04-22,Electronics,107.0,157.05,0,85.24,3,4,2021,16,0
2021-04-23,Electronics,108.0,157.05,0,86.98,4,4,2021,16,0
2021-04-24,Electronics,130.0,157.05,0,86.39,5,4,2021,16,0
2021-04-25,Electronics,113.0,157.05,0,82.52,6,4,2021,16,0
2021-04-26,Electronics,81.0,157.05,0,89.73,0,4,2021,17,0
2021-04-27,Electronics,80.0,157.05,0,89.39,1,4,2021,17,0
2021-04-28,Electronics,80.0,157.05,0,88.8,2,4,2021,17,0
2021-04-29,Electronics,104.0,157.05,0,93.21,3,4,2021,17,0
2021-04-30,Electronics,94.0,157.05,0,92.45,4,4,2021,17,0
2021-05-01,Electronics,122.0,157.05,0,82.99,5,5,2021,17,0
2021-05-02,Electronics,104.0,157.05,0,86.39,6,5,2021,17,0
2021-05-03,Electronics,91.0,157.05,0,81.05,0,5,2021,18,0
2021-05-04,Electronics,85.0,157.05,0,83.93,1,5,2021,18,0
2021-05-05,Electronics,80.0,157.05,0,80.44,2,5,2021,18,0
2021-05-06,Electronics,84.0,157.05,0,91.15,3,5,2021,18,0
2021-05-07,Electronics,91.0,157.05,0,84.48,4,5,2021,18,0
2021-05-08,Electronics,113.0,157.05,0,81.17,5,5,2021,18,0
2021-05-09,Electronics,102.0,157.05,0,87.82,6,5,2021,18,0
2021-05-10,Electronics,73.0,157.05,0,70.57,0,5,2021,19,0
2021-05-11,Electronics,70.0,157.05,0,70.92,1,5,2021,19,0
2021-05-12,Electronics,78.0,157.05,0,84.53,2,5,2021,19,0
2021-05-13,Electronics,91.0,157.05,0,80.41,3,5,2021,19,0
2021-05-14,Electronics,93.0,157.05,0,80.9,4,5,2021,19,0
2021-05-15,Electronics,103.0,157.05,0,72.55,5,5,2021,19,0
2021-05-16,Electronics,104.0,157.05,0,78.59,6,5,2021,19,0
2021-05-17,Electronics,85.0,157.05,0,88.24,0,5,2021,20,0
2021-05-18,Electronics,76.0,157.05,0,81.85,1,5,2021,20,0
2021-05-19,Electronics,71.0,157.05,0,78.08,2,5,2021,20,0
2021-05-20,Electronics,162.0,116.05,1,74.53,3,5,2021,20,0
2021-05-21,Electronics,175.0,116.05,1,74.23,4,5,2021,20,0
2021-05-22,Electronics,216.0,116.05,1,65.04,5,5,2021,20,0
2021-05-23,Electronics,191.0,116.05,1,76.44,6,5,2021,20,0
2021-05-24,Electronics,128.0,116.05,1,78.84,0,5,2021,21,0
2021-05-25,Electronics,123.0,116.05,1,66.19,1,5,2021,21,0
2021-05-26,Electronics,154.0,116.05,1,70.2,2,5,2021,21,0
2021-05-27,Electronics,84.0,157.05,0,67.16,3,5,2021,21,0
2021-05-28,Electronics,82.0,157.05,0,67.56,4,5,2021,21,0
2021-05-29,Electronics,92.0,157.05,0,72.08,5,5,2021,21,0
2021-05-30,Electronics,104.0,157.05,0,60.81,6,5,2021,21,0
2021-05-31,Electronics,64.0,157.05,0,73.71,0,5,2021,22,0
2021-06-01,Electronics,64.0,157.05,0,73.82,1,6,2021,22,0
2021-06-02,Electronics,71.0,157.05,0,68.2,2,6,2021,22,0
2021-06-03,Electronics,69.0,157.05,0,56.44,3,6,2021,22,0
2021-06-04,Electronics,81.0,157.05,0,63.25,4,6,2021,22,0
2021-06-05,Electronics,90.0,157.05,0,73.79,5,6,2021,22,0
2021-06-06,Electronics,92.0,157.05,0,53.11,6,6,2021,22,0
2021-06-07,Electronics,76.0,157.05,0,64.64,0,6,2021,23,0
2021-06-08,Electronics,67.0,157.05,0,59.84,1,6,2021,23,0
2021-06-09,Electronics,69.0,157.05,0,69.13,2,6,2021,23,0
2021-06-10,Electronics,57.0,157.05,0,61.09,3,6,2021,23,0
2021-06-11,Electronics,78.0,157.05,0,65.84,4,6,2021,23,0
2021-06-12,Electronics,83.0,157.05,0,66.0,5,6,2021,23,0
2021-06-13,Electronics,79.0,157.05,0,71.71,6,6,2021,23,0
2021-06-14,Electronics,62.0,157.05,0,60.85,0,6,2021,24,0
2021-06-15,Electronics,63.0,157.05,0,63.09,1,6,2021,24,0
2021-06-16,Electronics,68.0,157.05,0,53.12,2,6,2021,24,0
2021-06-17,Electronics,60.0,157.05,0,65.83,3,6,2021,24,0
2021-06-18,Electronics,77.0,157.05,0,55.41,4,6,2021,24,0
2021-06-19,Electronics,84.0,157.05,0,55.74,5,6,2021,24,0
2021-06-20,Electronics,83.0,157.05,0,57.76,6,6,2021,24,0
2021-06-21,Electronics,70.0,157.05,0,49.38,0,6,2021,25,0
2021-06-22,Electronics,66.0,157.05,0,57.66,1,6,2021,25,0
2021-06-23,Electronics,69.0,157.05,0,60.67,2,6,2021,25,0
2021-06-24,Electronics,65.0,157.05,0,56.61,3,6,2021,25,0
2021-06-25,Electronics,71.0,157.05,0,46.52,4,6,2021,25,0
2021-06-26,Electronics,85.0,157.05,0,53.16,5,6,2021,25,0
2021-06-27,Electronics,344.0,157.05,0,56.81,6,6,2021,25,0
2021-06-28,Electronics,65.0,157.05,0,43.02,0,6,2021,26,0
2021-06-29,Electronics,58.0,157.05,0,46.35,1,6,2021,26,0
2021-06-30,Electronics,63.0,157.05,0,55.42,2,6,2021,26,0
2021-07-01,Electronics,67.0,157.05,0,51.69,3,7,2021,26,0
2021-07-02,Electronics,90.0,157.05,0,51.72,4,7,2021,26,0
2021-07-03,Electronics,99.0,157.05,0,58.26,5,7,2021,26,0
2021-07-04,Electronics,110.0,157.05,0,50.62,6,7,2021,26,1
2021-07-05,Electronics,63.0,157.05,0,50.88,0,7,2021,27,0
2021-07-06,Electronics,56.0,157.05,0,60.46,1,7,2021,27,0
2021-07-07,Electronics,60.0,157.05,0,45.15,2,7,2021,27,0
2021-07-08,Electronics,68.0,157.05,0,41.54,3,7,2021,27,0
2021-07-09,Electronics,83.0,157.05,0,46.99,4,7,2021,27,0
2021-07-10,Electronics,82.0,157.05,0,46.36,5,7,2021,27,0
2021-07-11,Electronics,8.1,157.05,0,40.85,6,7,2021,27,0
2021-07-12,Electronics,54.0,157.05,0,37.65,0,7,2021,28,0
2021-07-13,Electronics,63.0,157.05,0,53.68,1,7,2021,28,0
2021-07-14,Electronics,58.0,157.05,0,43.09,2,7,2021,28,0
2021-07-15,Electronics,64.0,157.05,0,37.13,3,7,2021,28,0
2021-07-16,Electronics,71.0,157.05,0,44.7,4,7,2021,28,0
2021-07-17,Electronics,87.0,157.05,0,38.91,5,7,2021,28,0
2021-07-18,Electronics,75.0,157.05,0,37.53,6,7,2021,28,0
2021-07-19,Electronics,59.0,157.05,0,40.94,0,7,2021,29,0
2021-07-20,Electronics,76.0,157.05,0,31.02,1,7,2021,29,0
2021-07-21,Electronics,58.0,157.05,0,38.59,2,7,2021,29,0
2021-07-22,Electronics,63.0,157.05,0,45.74,3,7,2021,29,0
2021-07-23,Electronics,90.0,157.05,0,37.86,4,7,2021,29,0
2021-07-24,Electronics,111.0,157.05,0,33.01,5,7,2021,29,0
2021-07-25,Electronics,81.0,157.05,0,31.72,6,7,2021,29,0
2021-07-26,Electronics,66.0,157.05,0,31.57,0,7,2021,30,0
2021-07-27,Electronics,69.0,157.05,0,31.73,1,7,2021,30,0
2021-07-28,Electronics,76.0,157.05,0,30.49,2,7,2021,30,0
2021-07-29,Electronics,65.0,157.05,0,36.35,3,7,2021,30,0
2021-07-30,Electronics,80.0,157.05,0,22.49,4,7,2021,30,0
2021-07-31,Electronics,99.0,157.05,0,34.86,5,7,2021,30,0
2021-08-01,Electronics,96.0,157.05,0,28.05,6,8,2021,30,0
2021-08-02,Electronics,69.0,157.05,0,31.24,0,8,2021,31,0
2021-08-03,Electronics,69.0,157.05,0,23.14,1,8,2021,31,0
2021-08-04,Electronics,62.0,157.05,0,34.83,2,8,2021,31,0
2021-08-05,Electronics,135.0,119.75,1,33.84,3,8,2021,31,0
2021-08-06,Electronics,155.0,119.75,1,31.85,4,8,2021,31,0
2021-08-07,Electronics,185.0,119.75,1,18.91,5,8,2021,31,0
2021-08-08,Electronics,172.0,119.75,1,30.08,6,8,2021,31,0
2021-08-09,Electronics,143.0,119.75,1,27.41,0,8,2021,32,0
2021-08-10,Electronics,147.0,119.75,1,16.82,1,8,2021,32,0
2021-08-11,Electronics,137.0,119.75,1,24.2,2,8,2021,32,0
2021-08-12,Electronics,79.0,157.05,0,25.62,3,8,2021,32,0
2021-08-13,Electronics,89.0,157.05,0,26.06,4,8,2021,32,0
2021-08-14,Electronics,102.0,157.05,0,23.66,5,8,2021,32,0
2021-08-15,Electronics,95.0,157.05,0,23.72,6,8,2021,32,0
2021-08-16,Electronics,79.0,157.05,0,29.14,0,8,2021,33,0
2021-08-17,Electronics,75.0,157.05,0,27.42,1,8,2021,33,0
2021-08-18,Electronics,88.0,157.05,0,6.48,2,8,2021,33,0
2021-08-19,Electronics,91.0,157.05,0,18.76,3,8,2021,33,0
2021-08-20,Electronics,96.0,157.05,0,19.07,4,8,2021,33,0
2021-08-21,Electronics,100.0,157.05,0,10.68,5,8,2021,33,0
2021-08-22,Electronics,96.0,157.05,0,19.48,6,8,2021,33,0
2021-08-23,Electronics,89.0,157.05,0,24.82,0,8,2021,34,0
2021-08-24,Electronics,82.0,157.05,0,12.72,1,8,2021,34,0
2021-08-25,Electronics,83.0,157.05,0,19.42,2,8,2021,34,0
2021-08-26,Electronics,73.0,157.05,0,12.76,3,8,2021,34,0
2021-08-27,Electronics,105.0,157.05,0,13.59,4,8,2021,34,0
2021-08-28,Electronics,,157.05,0,23.95,5,8,2021,34,0
2021-08-29,Electronics,101.0,157.05,0,13.48,6,8,2021,34,0
2021-08-30,Electronics,82.0,157.05,0,18.14,0,8,2021,35,0
2021-08-31,Electronics,86.0,157.05,0,6.12,1,8,2021,35,0
2021-09-01,Electronics,84.0,157.05,0,24.44,2,9,2021,35,0
2021-09-02,Electronics,87.0,157.05,0,17.81,3,9,2021,35,0
2021-09-03,Electronics,102.0,157.05,0,13.57,4,9,2021,35,0
2021-09-04,Electronics,116.0,157.05,0,17.04,5,9,2021,35,0
2021-09-05,Electronics,119.0,157.05,0,6.82,6,9,2021,35,0
2021-09-06,Electronics,101.0,157.05,0,19.49,0,9,2021,36,0
2021-09-07,Electronics,71.0,157.05,0,11.68,1,9,2021,36,0
2021-09-08,Electronics,87.0,157.05,0,12.01,2,9,2021,36,0
2021-09-09,Electronics,96.0,157.05,0,10.31,3,9,2021,36,0
2021-09-10,Electronics,111.0,157.05,0,9.62,4,9,2021,36,0
2021-09-11,Electronics,121.0,157.05,0,15.76,5,9,2021,36,0
2021-09-12,Electronics,106.0,157.05,0,13.35,6,9,2021,36,0
2021-09-13,Electronics,98.0,157.05,0,15.11,0,9,2021,37,0
2021-09-14,Electronics,107.0,157.05,0,11.61,1,9,2021,37,0
2021-09-15,Electronics,82.0,157.05,0,14.03,2,9,2021,37,0
2021-09-16,Electronics,106.0,157.05,0,9.19,3,9,2021,37,0
2021-09-17,Electronics,111.0,157.05,0,22.26,4,9,2021,37,0
2021-09-18,Electronics,131.0,157.05,0,3.12,5,9,2021,37,0
2021-09-19,Electronics,119.0,157.05,0,17.12,6,9,2021,37,0
2021-09-20,Electronics,98.0,157.05,0,17.52,0,9,2021,38,0
2021-09-21,Electronics,109.0,157.05,0,6.3,1,9,2021,38,0
2021-09-22,Electronics,103.0,157.05,0,21.6,2,9,2021,38,0
2021-09-23,Electronics,119.0,157.05,0,15.33,3,9,2021,38,0
2021-09-24,Electronics,132.0,157.05,0,15.13,4,9,2021,38,0
2021-09-25,Electronics,143.0,157.05,0,10.34,5,9,2021,38,0
2021-09-26,Electronics,156.0,157.05,0,9.05,6,9,2021,38,0
2021-09-27,Electronics,109.0,157.05,0,9.04,0,9,2021,39,0
2021-09-28,Electronics,111.0,157.05,0,12.0,1,9,2021,39,0
2021-09-29,Electronics,101.0,157.05,0,17.02,2,9,2021,39,0
2021-09-30,Electronics,111.0,157.05,0,10.91,3,9,2021,39,0
2021-10-01,Electronics,119.0,157.05,0,5.44,4,10,2021,39,0
2021-10-02,Electronics,157.0,157.05,0,14.13,5,10,2021,39,0
2021-10-03,Electronics,131.0,157.05,0,14.64,6,10,2021,39,0
2021-10-04,Electronics,118.0,157.05,0,13.34,0,10,2021,40,0
2021-10-05,Electronics,107.0,157.05,0,13.83,1,10,2021,40,0
2021-10-06,Electronics,119.0,157.05,0,8.81,2,10,2021,40,0
2021-10-07,Electronics,122.0,157.05,0,5.59,3,10,2021,40,0
2021-10-08,Electronics,152.0,157.05,0,5.97,4,10,2021,40,0
2021-10-09,Electronics,162.0,157.05,0,2.23,5,10,2021,40,0
2021-10-10,Electronics,132.0,157.05,0,11.69,6,10,2021,40,0
2021-10-11,Electronics,115.0,157.05,0,10.2,0,10,2021,41,0
2021-10-12,Electronics,103.0,157.05,0,8.55,1,10,2021,41,0
2021-10-13,Electronics,109.0,157.05,0,-3.89,2,10,2021,41,0
2021-10-14,Electronics,135.0,157.05,0,4.8,3,10,2021,41,0
2021-10-15,Electronics,146.0,157.05,0,16.8,4,10,2021,41,0
2021-10-16,Electronics,151.0,157.05,0,8.05,5,10,2021,41,0
2021-10-17,Electronics,145.0,157.05,0,13.36,6,10,2021,41,0
2021-10-18,Electronics,121.0,157.05,0,4.8,0,10,2021,42,0
2021-10-19,Electronics,108.0,157.05,0,19.15,1,10,2021,42,0
2021-10-20,Electronics,112.0,157.05,0,11.46,2,10,2021,42,0
2021-10-21,Electronics,129.0,157.05,0,13.86,3,10,2021,42,0
2021-10-22,Electronics,158.0,157.05,0,24.28,4,10,2021,42,0
2021-10-23,Electronics,174.0,157.05,0,20.48,5,10,2021,42,0
2021-10-24,Electronics,134.0,157.05,0,11.63,6,10,2021,42,0
2021-10-25,Electronics,129.0,157.05,0,10.47,0,10,2021,43,0
2021-10-26,Electronics,125.0,157.05,0,12.09,1,10,2021,43,0
2021-10-27,Electronics,127.0,157.05,0,16.56,2,10,2021,43,0
2021-10-28,Electronics,148.0,157.05,0,13.79,3,10,2021,43,0
2021-10-29,Electronics,125.0,157.05,0,12.66,4,10,2021,43,0
2021-10-30,Electronics,164.0,157.05,0,22.3,5,10,2021,43,0
2021-10-31,Electronics,268.0,157.05,0,14.73,6,10,2021,43,1
2021-11-01,Electronics,114.0,157.05,0,27.15,0,11,2021,44,0
2021-11-02,Electronics,144.0,157.05,0,16.46,1,11,2021,44,0
2021-11-03,Electronics,131.0,157.05,0,25.3,2,11,2021,44,0
2021-11-04,Electronics,145.0,157.05,0,18.54,3,11,2021,44,0
2021-11-05,Electronics,148.0,157.05,0,21.96,4,11,2021,44,0
2021-11-06,Electronics,190.0,157.05,0,13.92,5,11,2021,44,0
2021-11-07,Electronics,192.0,157.05,0,13.68,6,11,2021,44,0
2021-11-08,Electronics,138.0,157.05,0,20.66,0,11,2021,45,0
2021-11-09,Electronics,135.0,157.05,0,23.73,1,11,2021,45,0
2021-11-10,Electronics,135.0,157.05,0,19.42,2,11,2021,45,0
2021-11-11,Electronics,130.0,157.05,0,13.24,3,11,2021,45,0
2021-11-12,Electronics,159.0,157.05,0,13.32,4,11,2021,45,0
2021-11-13,Electronics,182.0,157.05,0,13.45,5,11,2021,45,0
2021-11-14,Electronics,187.0,157.05,0,12.22,6,11,2021,45,0
2021-11-15,Electronics,150.0,157.05,0,22.08,0,11,2021,46,0
2021-11-16,Electronics,125.0,157.05,0,27.65,1,11,2021,46,0
2021-11-17,Electronics,134.0,157.05,0,22.45,2,11,2021,46,0
2021-11-18,Electronics,161.0,157.05,0,11.72,3,11,2021,46,0
2021-11-19,Electronics,155.0,157.05,0,22.58,4,11,2021,46,0
2021-11-20,Electronics,177.0,157.05,0,23.24,5,11,2021,46,0
2021-11-21,Electronics,190.0,157.05,0,35.06,6,11,2021,46,0
2021-11-22,Electronics,152.0,157.05,0,17.83,0,11,2021,47,0
2021-11-23,Electronics,140.0,157.05,0,23.71,1,11,2021,47,0
2021-11-24,Electronics,154.0,157.05,0,34.74,2,11,2021,47,0
2021-11-25,Electronics,346.0,157.05,0,29.02,3,11,2021,47,1
2021-11-26,Electronics,540.0,157.05,0,30.15,4,11,2021,47,1
2021-11-27,Electronics,202.0,157.05,0,28.48,5,11,2021,47,0
2021-11-28,Electronics,226.0,157.05,0,30.13,6,11,2021,47,0
2021-11-29,Electronics,143.0,157.05,0,32.95,0,11,2021,48,0
2021-11-30,Electronics,120.0,157.05,0,25.61,1,11,2021,48,0
2021-12-01,Electronics,160.0,157.05,0,34.64,2,12,2021,48,0
2021-12-02,Electronics,145.0,157.05,0,23.99,3,12,2021,48,0
2021-12-03,Electronics,173.0,157.05,0,33.1,4,12,2021,48,0
2021-12-04,Electronics,,157.05,0,32.96,5,12,2021,48,0
2021-12-05,Electronics,169.0,157.05,0,29.61,6,12,2021,48,0
2021-12-06,Electronics,134.0,157.05,0,33.2,0,12,2021,49,0
2021-12-07,Electronics,127.0,157.05,0,30.83,1,12,2021,49,0
2021-12-08,Electronics,135.0,157.05,0,29.21,2,12,2021,49,0
2021-12-09,Electronics,158.0,157.05,0,33.44,3,12,2021,49,0
2021-12-10,Electronics,182.0,157.05,0,30.33,4,12,2021,49,0
2021-12-11,Electronics,204.0,157.05,0,38.11,5,12,2021,49,0
2021-12-12,Electronics,175.0,157.05,0,31.4,6,12,2021,49,0
2021-12-13,Electronics,123.0,157.05,0,41.36,0,12,2021,50,0
2021-12-14,Electronics,148.0,157.05,0,32.55,1,12,2021,50,0
2021-12-15,Electronics,140.0,157.05,0,36.29,2,12,2021,50,0
2021-12-16,Electronics,160.0,157.05,0,36.66,3,12,2021,50,0
2021-12-17,Electronics,186.0,157.05,0,47.08,4,12,2021,50,0
2021-12-18,Electronics,204.0,157.05,0,42.77,5,12,2021,50,0
2021-12-19,Electronics,211.0,157.05,0,40.74,6,12,2021,50,0
2021-12-20,Electronics,155.0,157.05,0,44.96,0,12,2021,51,0
2021-12-21,Electronics,155.0,157.05,0,32.61,1,12,2021,51,0
2021-12-22,Electronics,139.0,157.05,0,43.61,2,12,2021,51,0
2021-12-23,Electronics,153.0,157.05,0,54.5,3,12,2021,51,0
2021-12-24,Electronics,180.0,157.05,0,45.85,4,12,2021,51,0
2021-12-25,Electronics,541.0,157.05,0,46.22,5,12,2021,51,1
2021-12-26,Electronics,348.0,157.05,0,49.3,6,12,2021,51,1
2021-12-27,Electronics,159.0,157.05,0,51.73,0,12,2021,52,0
2021-12-28,Electronics,146.0,157.05,0,37.95,1,12,2021,52,0
2021-12-29,Electronics,146.0,157.05,0,40.21,2,12,2021,52,0
2021-12-30,Electronics,166.0,157.05,0,50.36,3,12,2021,52,0
2021-12-31,Electronics,240.0,157.05,0,46.43,4,12,2021,52,1
2022-01-01,Electronics,328.0,157.05,0,57.25,5,1,2022,52,1
2022-01-02,Electronics,176.0,157.05,0,49.8,6,1,2022,52,0
2022-01-03,Electronics,124.0,157.05,0,42.39,0,1,2022,1,0
2022-01-04,Electronics,141.0,157.05,0,46.41,1,1,2022,1,0
2022-01-05,Electronics,156.0,157.05,0,39.69,2,1,2022,1,0
2022-01-06,Electronics,152.0,157.05,0,52.95,3,1,2022,1,0
2022-01-07,Electronics,181.0,157.05,0,53.87,4,1,2022,1,0
2022-01-08,Electronics,221.0,157.05,0,53.37,5,1,2022,1,0
2022-01-09,Electronics,221.0,157.05,0,61.57,6,1,2022,1,0
2022-01-10,Electronics,151.0,157.05,0,62.84,0,1,2022,2,0
2022-01-11,Electronics,165.0,157.05,0,56.68,1,1,2022,2,0
