date,product,sales,price,is_promotion,weather_index,day_of_week,month,year,week_of_year,is_holiday,price_ratio,quarter,is_weekend,day_of_year,trend_index,sales_lag_1,sales_lag_7,sales_lag_14,sales_lag_28,rolling_mean_7,rolling_std_7,rolling_mean_30,rolling_std_30,sin_1,cos_1,sin_2,cos_2,sin_3,cos_3,product_id
2021-02-08,Automotive,20.0,52.36,0,78.07,0,2,2021,6,0,1.0184224507598707,1,0,39,38,31.0,38.0,19.0,17.0,24.857142857142858,8.214389233302164,24.1,9.117433093085825,0.6084768701151261,0.7935716089521474,0.9657399376548549,0.2595117970697999,0.9242907221930933,-0.3816892202666588,0
2021-02-09,Automotive,18.0,52.36,0,74.63,1,2,2021,6,0,1.0184224507598707,1,0,40,39,20.0,18.0,19.0,20.0,22.285714285714285,5.908025211926731,24.0,9.146320156969859,0.6220467484408675,0.7829801036770629,0.9741004551724205,0.22611568550828828,0.9033558023246845,-0.4288919379124835,0
2021-02-10,Automotive,21.0,52.36,0,76.87,2,2,2021,6,0,1.0184224507598707,1,0,41,40,18.0,16.0,18.0,17.0,22.285714285714285,5.908025211926731,23.8,9.211686730115886,0.6354323008901774,0.7721565844991642,0.9813064702716093,0.19245158197082998,0.8800122039735357,-0.47495107206704995,0
2021-02-11,Automotive,19.0,52.36,0,74.02,3,2,2021,6,0,1.0184224507598707,1,0,42,41,21.0,19.0,23.0,20.0,23.0,5.291502622129182,23.933333333333334,9.138525246349158,0.6486295610349814,0.7611042586607747,0.9873494423939864,0.15855938510313475,0.854322169749827,-0.5197438121555155,0
2021-02-12,Automotive,23.0,52.36,0,69.22,4,2,2021,6,0,1.0184224507598707,1,0,43,42,19.0,22.0,40.0,19.0,23.0,5.291502622129182,23.9,9.155175660756617,0.6616346182422783,0.7498264012045686,0.9922222094179323,0.12447926388678915,0.8263541987239096,-0.5631507242749186,0
2021-02-13,Automotive,26.0,52.36,0,79.2,5,2,2021,6,0,1.0184224507598707,1,1,44,43,23.0,30.0,49.0,23.0,23.142857142857142,5.273473599964621,24.1,9.064329482400629,0.6744436188329455,0.7383263540031065,0.995918996147179,0.09025161003104117,0.7961828637826158,-0.6050560696488488,0
2021-02-14,Automotive,42.0,52.36,0,79.71,6,2,2021,6,1,1.0184224507598707,1,1,45,44,26.0,31.0,51.0,22.0,22.571428571428573,4.577377082170635,24.3,9.036897545141215,0.6870527672236669,0.7266075247685656,0.9984354211555643,0.055916990100603484,0.7638886127905428,-0.6453481132295501,0
2021-02-15,Automotive,20.0,52.36,0,77.03,0,2,2021,7,0,1.0184224507598707,1,0,46,45,42.0,20.0,38.0,18.0,24.142857142857142,8.315218406203003,25.066666666666666,9.533727184212296,0.699458327051647,0.7146733860429609,0.9997685019798909,0.021516097436222254,0.7295575540864875,-0.6839194216246106,0
2021-02-16,Automotive,18.0,52.36,0,84.12,1,2,2021,7,0,1.0184224507598707,1,0,47,46,20.0,18.0,18.0,19.0,24.142857142857142,8.315218406203003,24.966666666666665,9.571809663270843,0.7116566222817746,0.7025274741691571,0.9999166586547379,-0.01291029607500882,0.6932812268869777,-0.7206671495538609,0
2021-02-17,Automotive,19.0,52.36,0,75.81,2,2,2021,7,0,1.0184224507598707,1,0,48,47,18.0,21.0,16.0,19.0,24.142857142857142,8.315218406203003,24.833333333333332,9.642160772763338,0.7236440382959124,0.6901733882429719,0.9988797155850336,-0.04732138832243185,0.6551563572090853,-0.7554933140726803,0
2021-02-18,Automotive,23.0,52.36,0,71.02,3,2,2021,7,0,1.0184224507598707,1,0,49,48,19.0,19.0,19.0,17.0,23.857142857142858,8.474050024015899,24.866666666666667,9.619424792228138,0.7354170229639855,0.6776147890466889,0.9966589017541702,-0.08167639533042241,0.6152845999633276,-0.7883050558305255,0
2021-02-19,Automotive,25.0,52.36,0,76.85,4,2,2021,7,0,1.0184224507598707,1,0,50,49,23.0,23.0,22.0,22.0,24.428571428571427,8.22308017831808,25.0,9.56285918865634,0.7469720876965552,0.6648553979642865,0.9932568492674143,-0.11593459959550041,0.5737722679043246,-0.8190148866680801,0
2021-02-20,Automotive,29.0,52.36,0,73.07,5,2,2021,7,0,1.0184224507598707,1,1,51,50,25.0,26.0,30.0,24.0,24.714285714285715,8.199883855158884,25.2,9.495552497952888,0.7583058084785624,0.6518989958787126,0.9886775902323405,-0.1500553983446526,0.5307300481619334,-0.8475409228928311,0
2021-02-21,Automotive,23.0,52.36,0,82.9,6,2,2021,7,0,1.0184224507598707,1,1,52,51,29.0,42.0,31.0,26.0,25.142857142857142,8.355209381548969,25.6,9.390383929575384,0.7694148268839378,0.6387494220515272,0.9829265519799822,-0.18399835165768005,0.48627270710868997,-0.8738071036110808,0
2021-02-22,Automotive,23.0,52.36,0,77.88,0,2,2021,8,0,1.0184224507598707,1,0,53,52,23.0,20.0,20.0,19.0,22.428571428571427,3.823486317361114,25.633333333333333,9.378932125572293,0.7802958510707755,0.6254105729852463,0.9760105506323683,-0.21772323039653177,0.440518784350495,-0.8977433935342337,0
2021-02-23,Automotive,20.0,52.36,0,86.98,1,2,2021,8,0,1.0184224507598707,1,0,54,53,23.0,18.0,18.0,19.0,22.857142857142858,3.6709931185158227,25.6,9.38671107617499,0.7909456567567772,0.6118864012687243,0.9679377830240642,-0.25119006388481935,0.39359027665646673,-0.9192859697186104,0
2021-02-24,Automotive,23.0,52.36,0,87.28,2,2,2021,8,0,1.0184224507598707,1,0,55,54,20.0,19.0,21.0,18.0,23.142857142857142,3.287784027201888,25.4,9.44165385863128,0.8013610881746766,0.5981809144059165,0.9587178169872964,-0.2843591872810034,0.3456123126707335,-0.9383773917408641,0
2021-02-25,Automotive,23.0,52.36,0,78.23,3,2,2021,8,0,1.0184224507598707,1,0,56,55,23.0,23.0,19.0,23.0,23.714285714285715,2.7516228977511874,25.533333333333335,9.376174255961807,0.8115390590073611,0.5842981736283684,0.9483615800121715,-0.3171912885891061,0.29671281927349075,-0.9549667548552551,0
2021-02-26,Automotive,25.0,52.36,0,79.21,4,2,2021,8,0,1.0184224507598707,1,0,57,56,23.0,25.0,23.0,40.0,23.714285714285715,2.7516228977511874,25.666666666666668,9.308258599809072,0.8214765533024142,0.5702422926917871,0.9368813462954315,-0.3496474552512284,0.24702218048093552,-0.9690098257244062,0
2021-02-27,Automotive,26.0,52.36,0,86.3,5,2,2021,8,0,1.0184224507598707,1,1,58,57,25.0,29.0,26.0,49.0,23.714285714285715,2.7516228977511874,25.9,9.196513582274836,0.8311706263658079,0.5560174366570446,0.9242907221930933,-0.3816892202666588,0.19667288979357647,-0.980469160361632,0
2021-02-28,Automotive,34.0,52.36,0,88.89,6,2,2021,8,0,1.0184224507598707,1,1,59,58,26.0,23.0,42.0,51.0,23.285714285714285,1.8898223650461525,26.0,9.180188563911177,0.8406184056344782,0.5416278206559814,0.9106046300942162,-0.4132786077829042,0.1457991969198751,-0.9893142039703663,0
2021-03-01,Automotive,24.0,52.36,0,74.29,0,3,2021,9,0,1.0184224507598707,1,0,60,59,34.0,23.0,20.0,38.0,24.857142857142858,4.450789122113505,25.8,8.926519961367347,0.8498170915275278,0.5270777086423722,0.895839290734909,-0.4443781781046132,0.09453674981719912,-0.9955213724144752,0
2021-03-02,Automotive,24.0,52.36,0,86.11,1,3,2021,9,0,1.0184224507598707,1,0,61,60,24.0,20.0,18.0,18.0,25.0,4.396968652757652,24.966666666666665,7.779208954258976,0.8587639582758029,0.5123714121284237,0.8800122039735357,-0.47495107206704995,0.04302223300453059,-0.99907411510223,0
2021-03-03,Automotive,25.0,52.36,0,74.05,2,3,2021,9,0,1.0184224507598707,1,0,62,61,24.0,23.0,19.0,16.0,25.571428571428573,3.8668308667927374,24.066666666666666,6.028285816470343,0.8674563547295969,0.49751328890718066,0.8631421280499114,-0.5049610547215204,-0.008606996888688009,-0.9999629591162655,0
2021-03-04,Automotive,24.0,52.36,0,82.62,3,3,2021,9,0,1.0184224507598707,1,0,63,62,25.0,23.0,23.0,19.0,25.857142857142858,3.716116764786049,23.633333333333333,5.429696970863323,0.8758917051442429,0.48250774176121847,0.8452490573530633,-0.5343725582809786,-0.060213277365792774,-0.9981855344718586,0
2021-03-05,Automotive,30.0,52.36,0,91.15,4,3,2021,9,0,1.0184224507598707,1,0,64,63,24.0,25.0,25.0,22.0,26.0,3.605551275464007,23.833333333333332,5.324525773497929,0.8840675099433636,0.4673592171580022,0.8263541987239096,-0.5631507242749186,-0.11165900712169444,-0.9937465804361781,0
2021-03-06,Automotive,29.0,52.36,0,101.03,5,3,2021,9,0,1.0184224507598707,1,1,65,64,30.0,26.0,29.0,30.0,26.714285714285715,3.8606685826113134,24.3,5.226919710036921,0.8919813464595485,0.45207220393230435,0.8064799463209448,-0.5912614448635781,-0.16280701293851646,-0.9866579328916572,0
2021-03-07,Automotive,32.0,52.36,0,85.09,6,3,2021,9,0,1.0184224507598707,1,1,66,65,29.0,34.0,23.0,31.0,27.142857142857142,3.9339789623472354,24.633333333333333,5.196041818029633,0.8996308696522433,0.43665123195606403,0.7856498550787147,-0.6186714032625031,-0.2135209154397959,-0.9769384927771817,0
2021-03-08,Automotive,22.0,52.36,0,80.33,0,3,2021,10,0,1.0184224507598707,1,0,67,66,32.0,24.0,23.0,20.0,26.857142857142858,3.3876526498728623,24.966666666666665,5.340046062912102,0.9070138128026359,0.4211008707960896,0.7638886127905428,-0.6453481132295501,-0.2636654927280072,-0.9646141756912435,0
2021-03-09,Automotive,22.0,52.36,0,84.27,1,3,2021,10,0,1.0184224507598707,1,0,68,67,22.0,24.0,20.0,18.0,26.571428571428573,3.735288603626378,24.7,5.2794330939129726,0.9141279881853337,0.40542572835999735,0.7412220108485958,-0.6712599575675313,-0.3131070409358267,-0.9497178427914317,0
2021-03-10,Automotive,23.0,52.36,0,87.43,2,3,2021,10,0,1.0184224507598707,1,0,69,68,22.0,25.0,23.0,21.0,26.285714285714285,4.029651999626689,24.4,5.163532605253625,0.9209712877166346,0.38963044953078796,0.717676913675962,-0.6963762255968722,-0.3617137307297674,-0.9322892131745134,0
2021-03-11,Automotive,22.0,52.36,0,84.0,3,3,2021,10,0,1.0184224507598707,1,0,70,69,23.0,24.0,23.0,19.0,26.0,4.203173404306179,24.5,5.10408896258001,0.9275416835791966,0.37371971479046906,0.6932812268869777,-0.7206671495538609,-0.4093559588156211,-0.9123747579707274,0
2021-03-12,Automotive,28.0,52.36,0,82.97,4,3,2021,10,0,1.0184224507598707,1,0,71,70,22.0,30.0,25.0,23.0,25.714285714285715,4.423960733486306,24.633333333333333,4.979151938130484,0.9338372288229252,0.35769823883312546,0.6680638642135335,-0.7441039398713607,-0.455906693508459,-0.8900275764346766,0
2021-03-13,Automotive,31.0,52.36,0,85.69,5,3,2021,10,0,1.0184224507598707,1,1,72,71,28.0,29.0,26.0,26.0,25.428571428571427,4.157609203101513,24.866666666666667,4.96701765326198,0.9398560579418954,0.3415707691678556,0.6420547132365637,-0.766658819300159,-0.5012418134457756,-0.8653072543632061,0
2021-03-14,Automotive,26.0,52.36,0,90.02,6,3,2021,10,0,1.0184224507598707,1,1,73,72,31.0,32.0,34.0,42.0,25.714285714285715,4.4986770542122,25.266666666666666,4.961460667386475,0.9455963874271426,0.3253420847119801,0.6152845999633276,-0.7883050558305255,-0.5452404385406507,-0.8382797052177745,0
2021-03-15,Automotive,23.0,52.36,0,87.4,0,3,2021,11,0,1.0184224507598707,1,0,74,73,26.0,22.0,24.0,20.0,24.857142857142858,3.5790395093549763,25.366666666666667,4.944403547120893,0.9510565162951535,0.30901699437494745,0.5877852522924732,-0.8090169943749473,-0.5877852522924734,-0.8090169943749472,0
2021-03-16,Automotive,23.0,52.36,0,84.04,1,3,2021,11,0,1.0184224507598707,1,0,75,74,23.0,22.0,24.0,18.0,25.0,3.464101615137769,25.266666666666666,4.961460667386475,0.9562348265919056,0.29260033563334836,0.5595892624101765,-0.8287700871745038,-0.6287628145958345,-0.7775971469736268,0
2021-03-17,Automotive,25.0,52.36,0,85.28,2,3,2021,11,0,1.0184224507598707,1,0,76,75,23.0,23.0,25.0,19.0,25.142857142857142,3.338091841585136,24.633333333333333,3.837054665462453,0.9611297838723007,0.27609697309746883,0.5307300481619334,-0.8475409228928311,-0.6680638642135333,-0.7441039398713608,0
2021-03-18,Automotive,26.0,52.36,0,86.73,3,3,2021,11,0,1.0184224507598707,1,0,77,76,25.0,22.0,24.0,23.0,25.428571428571427,3.207134902949109,24.8,3.7361237519192567,0.9657399376548549,0.2595117970697999,0.5012418134457758,-0.865307254363206,-0.7055836101071774,-0.70862667826446,0
2021-03-19,Automotive,32.0,52.36,0,83.97,4,3,2021,11,0,1.0184224507598707,1,0,78,77,26.0,28.0,30.0,25.0,26.0,2.8284271247462103,25.066666666666666,3.512866334641488,0.9700639218515071,0.2428497220959356,0.4711595076738638,-0.8820480249558537,-0.7412220108485957,-0.6712599575675315,0
2021-03-20,Automotive,34.0,52.36,0,85.58,5,3,2021,11,0,1.0184224507598707,1,1,79,78,32.0,31.0,29.0,29.0,26.571428571428573,3.5989416433697667,25.5,3.5404071458831887,0.9741004551724205,0.22611568550828828,0.440518784350495,-0.8977433935342337,-0.7748840413670406,-0.6321034111873488,0
2021-03-21,Automotive,31.0,52.36,0,92.47,6,3,2021,11,0,1.0184224507598707,1,1,80,79,34.0,26.0,32.0,23.0,27.0,4.320493798938589,25.866666666666667,3.8303086517689606,0.9778483415056568,0.20931464596304847,0.4093559588156213,-0.9123747579707273,-0.8064799463209447,-0.5912614448635782,0
2021-03-22,Automotive,25.0,52.36,0,88.23,0,3,2021,12,0,1.0184224507598707,1,0,81,80,31.0,23.0,22.0,23.0,27.714285714285715,4.535573676110744,26.066666666666666,3.9386093584107806,0.9813064702716093,0.19245158197082998,0.3777079652039649,-0.9259247771938498,-0.8359254794186365,-0.5488429582847199,0
2021-03-23,Automotive,24.0,52.36,0,80.73,1,3,2021,12,0,1.0184224507598707,1,0,82,81,25.0,23.0,22.0,20.0,28.0,4.242640687119304,25.933333333333334,3.9034320295344536,0.9844738167520922,0.1755314904214282,0.3456123126707335,-0.9383773917408641,-0.8631421280499115,-0.5049610547215202,0
2021-03-24,Automotive,25.0,52.36,0,94.72,2,3,2021,12,0,1.0184224507598707,1,0,83,82,24.0,25.0,23.0,23.0,28.142857142857142,4.059087394500226,25.966666666666665,3.881728492817869,0.9873494423939864,0.15855938510313475,0.3131070409358269,-0.9497178427914316,-0.888057322629493,-0.4597327394521046,0
2021-03-25,Automotive,26.0,52.36,0,91.77,3,3,2021,12,0,1.0184224507598707,1,0,84,83,25.0,26.0,22.0,23.0,28.142857142857142,4.059087394500226,26.033333333333335,3.846030944101798,0.989932495087353,0.141540295217043,0.28023067519921585,-0.9599326896597447,-0.9106046300942162,-0.41327860778290443,0
2021-03-26,Automotive,28.0,52.36,0,82.85,4,3,2021,12,0,1.0184224507598707,1,0,85,84,26.0,32.0,28.0,25.0,28.142857142857142,4.059087394500226,26.233333333333334,3.673608893016598,0.9922222094179323,0.12447926388678915,0.24702218048093552,-0.9690098257244062,-0.9307239310379793,-0.3657225234972692,0
2021-03-27,Automotive,34.0,52.36,0,88.01,5,3,2021,12,0,1.0184224507598707,1,1,86,85,28.0,34.0,31.0,26.0,27.571428571428573,3.6903993847614602,26.4,3.6350781426880414,0.994217906893952,0.10738134666416309,0.21352091543979612,-0.9769384927771817,-0.9483615800121716,-0.31719128858910595,0
2021-03-28,Automotive,35.0,52.36,0,85.93,6,3,2021,12,0,1.0184224507598707,1,1,87,86,34.0,31.0,26.0,34.0,27.571428571428573,3.6903993847614602,26.766666666666666,3.829858495030083,0.995918996147179,0.09025161003104117,0.1797665857255624,-0.9837092937736097,-0.9634705485641486,-0.26781430516217486,0
2021-03-29,Automotive,24.0,52.36,0,93.32,0,3,2021,13,0,1.0184224507598707,1,0,88,87,35.0,25.0,23.0,24.0,28.142857142857142,4.52506248312558,27.1,4.096676533568366,0.9973249731081555,0.07309512989807777,0.1457991969198751,-0.9893142039703663,-0.9760105506323682,-0.21772323039653224,0
2021-03-30,Automotive,26.0,52.36,0,88.11,1,3,2021,13,0,1.0184224507598707,1,0,89,88,24.0,24.0,23.0,24.0,28.0,4.654746681256331,27.033333333333335,4.131321349393446,0.9984354211555643,0.055916990100603484,0.11165900712169512,-0.993746580436178,-0.9859481499638303,-0.1670516255021195,0
2021-03-31,Automotive,22.0,52.36,0,89.63,2,3,2021,13,0,1.0184224507598707,1,0,90,89,26.0,25.0,25.0,25.0,28.285714285714285,4.42396073348631,26.766666666666666,3.9188609651744324,0.9992500112396835,0.03872228089217446,0.07738647923346301,-0.9970011699250151,-0.9932568492674143,-0.11593459959550066,0
2021-04-01,Automotive,29.0,52.36,0,89.05,3,4,2021,13,0,1.0184224507598707,2,0,91,90,22.0,26.0,26.0,24.0,27.857142857142858,4.91353814911997,26.7,3.9840198033021266,0.9997685019798909,0.021516097436222254,0.04302223300453059,-0.99907411510223,-0.9979171608653922,-0.06450844944931625,0
2021-04-02,Automotive,32.0,52.36,0,82.6,4,4,2021,13,0,1.0184224507598707,2,0,92,91,29.0,28.0,32.0,30.0,28.285714285714285,4.8550415622761385,26.866666666666667,3.971739246687555,0.9999907397361901,0.004303538296244289,0.008606996888688698,-0.9999629591162655,-0.9999166586547379,-0.012910296075008843,0
2021-04-03,Automotive,40.0,52.36,0,97.01,5,4,2021,13,0,1.0184224507598707,2,1,93,92,32.0,34.0,34.0,29.0,28.857142857142858,5.047394424471962,27.1,4.062868020465864,0.9999166586547379,-0.01291029607500882,-0.02581844022713239,-0.9996666485105112,-0.9992500112396835,0.03872228089217399,0
2021-04-04,Automotive,32.0,52.36,0,93.27,6,4,2021,13,0,1.0184224507598707,2,1,94,93,40.0,35.0,31.0,32.0,29.714285714285715,6.395683067879622,27.633333333333333,4.649681734257209,0.9995462806873573,-0.030120304846908114,-0.060213277365792774,-0.9981855344718586,-0.9959189961471792,0.0902516100310407,0
2021-04-05,Automotive,29.0,52.36,0,86.18,0,4,2021,14,0,1.0184224507598707,2,0,95,94,32.0,24.0,25.0,22.0,29.285714285714285,6.074928962939574,27.7,4.698862665031577,0.9988797155850336,-0.04732138832243185,-0.09453674981719933,-0.9955213724144752,-0.989932495087353,0.141540295217043,0
2021-04-06,Automotive,29.0,52.36,0,90.83,1,4,2021,14,0,1.0184224507598707,2,0,96,95,29.0,26.0,24.0,22.0,30.0,5.627314338711395,27.7,4.698862665031577,0.9979171608653922,-0.06450844944931623,-0.12874817745258066,-0.99167731989929,-0.9813064702716093,0.19245158197082995,0
2021-04-07,Automotive,26.0,52.36,0,94.67,2,4,2021,14,0,1.0184224507598707,2,0,97,96,29.0,22.0,25.0,23.0,30.428571428571427,5.380741673076414,27.6,4.635693602085222,0.9966589017541702,-0.08167639533042241,-0.16280701293851646,-0.9866579328916572,-0.970063921851507,0.2428497220959358,0
2021-04-08,Automotive,27.0,52.36,0,90.01,3,4,2021,14,0,1.0184224507598707,2,0,98,97,26.0,29.0,26.0,22.0,31.0,4.4721359549996045,27.733333333333334,4.525280203428324,0.9951053111006976,-0.09882013873287143,-0.19667288979357622,-0.9804691603616321,-0.9562348265919058,0.2926003356333479,0
2021-04-09,Automotive,29.0,52.36,0,97.43,4,4,2021,14,0,1.0184224507598707,2,0,99,98,27.0,32.0,28.0,28.0,30.714285714285715,4.680252333449781,27.9,4.397099357374218,0.9932568492674143,-0.11593459959550041,-0.23030567023061196,-0.973118337233262,-0.9398560579418953,0.341570769167856,0
2021-04-10,Automotive,33.0,52.36,0,104.14,5,4,2021,14,0,1.0184224507598707,2,1,100,99,29.0,40.0,34.0,31.0,30.285714285714285,4.68025233344978,28.1,4.301964266672168,0.9911140639934547,-0.1330147065341959,-0.2636654927280072,-0.9646141756912435,-0.9209712877166347,0.38963044953078774,0
2021-04-11,Automotive,56.5,43.15,1,88.81,6,4,2021,14,0,0.8392843535196413,2,1,101,100,33.0,32.0,35.0,26.0,29.285714285714285,2.49761791275115,28.466666666666665,4.23233312466788,0.9886775902323405,-0.1500553983446526,-0.2967128192734901,-0.9549667548552553,-0.8996308696522434,0.4366512319560638,0
2021-04-12,Automotive,43.0,43.15,1,86.4,0,4,2021,15,0,0.8392843535196413,2,0,102,101,56.5,29.0,24.0,23.0,32.785714285714285,10.684323184215375,29.416666666666668,6.638554232575842,0.9859481499638304,-0.16705162550211924,-0.3294084822245302,-0.9441875088341994,-0.8758917051442433,0.48250774176121763,0
2021-04-13,Automotive,53.0,43.15,1,84.24,1,4,2021,15,0,0.8392843535196413,2,0,103,102,43.0,29.0,26.0,23.0,34.785714285714285,11.157423324320698,29.816666666666666,7.083837034152948,0.9829265519799822,-0.18399835165768005,-0.3617137307297674,-0.9322892131745134,-0.8498170915275277,0.5270777086423724,0
2021-04-14,Automotive,41.0,43.15,1,77.97,2,4,2021,15,0,0.8392843535196413,2,0,104,103,53.0,26.0,22.0,25.0,38.214285714285715,12.668389607132218,30.716666666666665,8.208157562736762,0.9796136916454901,-0.20089055513063506,-0.39359027665646645,-0.9192859697186105,-0.8214765533024145,0.5702422926917867,0
2021-04-15,Automotive,50.0,43.15,1,95.13,3,4,2021,15,0,0.8392843535196413,2,0,105,104,41.0,27.0,29.0,26.0,40.357142857142854,11.46994000897669,31.316666666666666,8.28218209349958,0.9760105506323683,-0.21772323039653177,-0.42500033996955394,-0.9051931898913975,-0.7909456567567774,0.6118864012687242,0
2021-04-16,Automotive,56.5,43.15,1,86.95,4,4,2021,15,0,0.8392843535196413,2,0,106,105,50.0,29.0,32.0,32.0,43.642857142857146,10.233581507770918,32.21666666666667,8.798200573602161,0.9721181966290613,-0.23449138957040985,-0.455906693508459,-0.8900275764346766,-0.7583058084785625,0.6518989958787125,0
2021-04-17,Automotive,56.5,43.15,1,92.92,5,4,2021,15,0,0.8392843535196413,2,1,107,106,56.5,33.0,40.0,34.0,47.57142857142857,8.862037817890124,33.266666666666666,9.736824283432295,0.9679377830240642,-0.25119006388481935,-0.4862727071086902,-0.8738071036110807,-0.7236440382959124,0.690173388242972,0
2021-04-18,Automotive,39.0,52.36,0,93.73,6,4,2021,15,0,1.0184224507598707,2,1,108,107,56.5,56.5,32.0,31.0,50.92857142857143,6.579187965525438,34.28333333333333,10.513278412964523,0.9634705485641488,-0.2678143051621742,-0.5160623910158526,-0.8565509959010037,-0.6870527672236675,0.7266075247685652,0
2021-04-19,Automotive,31.0,52.36,0,82.74,0,4,2021,16,0,1.0184224507598707,2,0,109,108,39.0,43.0,29.0,25.0,48.42857142857143,7.384830010617358,34.516666666666666,10.538503568878479,0.9587178169872964,-0.2843591872810034,-0.5452404385406507,-0.8382797052177745,-0.6486295610349818,0.7611042586607742,0
2021-04-20,Automotive,27.0,52.36,0,83.28,1,4,2021,16,0,1.0184224507598707,2,0,110,109,31.0,53.0,29.0,24.0,46.714285714285715,9.839788034883123,34.416666666666664,10.557791152650662,0.9536809966304457,-0.30081980763566735,-0.5737722679043243,-0.8190148866680802,-0.6084768701151264,0.7935716089521472,0
2021-04-21,Automotive,28.0,52.36,0,96.43,2,4,2021,16,0,1.0184224507598707,2,0,111,110,27.0,41.0,26.0,25.0,43.0,11.786291472158117,34.28333333333333,10.627455767583983,0.9483615800121715,-0.3171912885891061,-0.6016240632249227,-0.7987793728863648,-0.5667017562911184,0.8239230057575536,0
2021-04-22,Automotive,29.0,52.36,0,87.12,3,4,2021,16,0,1.0184224507598707,2,0,112,111,28.0,50.0,27.0,26.0,41.142857142857146,13.104434000604186,34.38333333333333,10.550930121879382,0.9427611433904207,-0.3334687789181868,-0.6287628145958345,-0.7775971469736268,-0.5234156073655503,0.8520775211013093,0
2021-04-23,Automotive,38.0,52.36,0,83.93,4,4,2021,16,0,1.0184224507598707,2,0,113,112,29.0,56.5,29.0,28.0,38.142857142857146,13.142533639910955,34.55,10.41993282128057,0.9368813462954315,-0.3496474552512284,-0.655156357209085,-0.7554933140726804,-0.4787338401157883,0.8779600847008883,0
2021-04-24,Automotive,46.0,52.36,0,81.75,5,4,2021,16,0,1.0184224507598707,2,1,114,113,38.0,56.5,33.0,34.0,35.5,10.412332431624883,34.983333333333334,10.278436864028311,0.9307239310379795,-0.36572252349726897,-0.6807734094770159,-0.7324940716135792,-0.4327755925504317,0.9015016841318838,0
